,Movie_id
542,85182
543,906042
544,6374
545,668
546,915111
547,397541
548,723988
549,5908
550,426053
551,395057
552,319
553,161066
554,1115099
555,596001
556,843147
557,750
558,571896
559,409013
560,61439
561,818144
562,465674
563,61254
564,419209
565,78240
566,70955
567,708
568,102146
569,79204
570,924311
571,397671
572,505841
573,278171
574,484391
575,523248
576,253761
577,692865
578,23737
579,1392550
580,197243
581,493992
582,1008385
583,453374
584,501821
585,586475
586,474935
587,197863
588,607737
589,392928
590,672899
591,446136
592,77647
593,751
594,596227
595,167491
596,87672
597,272225
598,798
599,938643
600,79834
601,918722
602,470191
603,180609
604,6871
605,571288
606,461314
607,252626
608,866
609,683919
610,427878
611,3948
612,837552
613,706019
614,279580
615,688384
616,646674
617,6035
618,636
619,507440
620,682716
621,197615
622,804
623,518040
624,522180
625,280176
626,957887
627,820599
628,716891
629,497077
630,3730
631,454522
632,387477
633,568687
634,846824
635,724
636,466
637,502937
638,77649
639,734349
640,885349
641,422792
642,195435
643,600847
644,472362
645,612
646,834394
647,464413
648,395523
649,280826
650,726794
651,13469
652,585585
653,843463
654,1282688
655,1142526
656,1049727
657,463695
658,1108494
659,41947
660,2011
661,12244
662,821
663,178579
664,281040
665,592203
666,6803
667,606826
668,470173
669,682669
670,9544
671,61455
672,77450
673,2928
674,23263
675,462737
676,450345
677,965936
678,3795
679,928391
680,281439
681,1048255
682,577673
683,839
684,318
685,429827
686,915112
687,664
688,374718
689,678975
690,1125418
691,276363
692,105053
693,817324
694,687670
695,394619
696,260999
697,726838
698,484611
699,102128
700,278361
701,768561
702,682648
703,798068
704,198028
705,740
706,618287
707,678552
708,1209476
709,864138
710,883
711,195239
712,196604
713,506296
714,602749
715,24186
716,231150
717,463577
718,819281
719,678549
720,102201
721,1796
722,391277
723,779024
724,471628
725,463135
726,395058
727,102376
728,568550
729,77577
730,195408
731,506005
732,1129900
733,462356
734,88172
735,468958
736,279600
737,841
738,829368
739,497011
740,780470
741,1008113
742,81583
743,635177
744,506251
745,309423
746,658
